mobile Name,mobile Link,mobile Price,mobile Reviews,mobile Location
Realme C35 || 4GB Ram 128GB Rom || 6.6Inches IPS Display || 5000 mAh - Fast charging 18W,https://www.daraz.pk/products/c35-4gb-128gb-66-ips-18-i302290469-s1635935299.html?search=1,"Rs. 59,999",,Pakistan
"Samsung Galaxy A03 - 6.5"" Inch Display - 4GB RAM - 64GB ROM",https://www.daraz.pk/products/samsung-galaxy-a03-65-inch-display-4gb-ram-64gb-rom-i319407020-s1695541126.html?search=1,"Rs. 38,990",(23),Free Shipping
Realme Narzo 50 || 4GB Ram 64GB Rom || || 50MP rear Camera || 33W Fast Charger G96 Processor || 5000mAh Battery,https://www.daraz.pk/products/realme-narzo-50-4gb-ram-64gb-rom-50mp-rear-camera-33w-fast-charger-g96-processor-5000mah-battery-i403137569-s1945074075.html?search=1,"Rs. 44,999",(4),Pakistan
"Realme C11 2021 - 6.5"" Inch Display - 4GB RAM - 64GB ROM",https://www.daraz.pk/products/realme-c11-2021-65-inch-display-4gb-ram-64gb-rom-active-i258923923-s1476090897.html?search=1,"Rs. 36,990",(18),Free Shipping
"Infinix Smart 6 - 6.6"" Inch Display - 3GB RAM - 64GB ROM",https://www.daraz.pk/products/infinix-smart-6-66-inch-display-3gb-ram-64gb-rom-i345956314-s1772689460.html?search=1,"Rs. 29,990",(8),Free Shipping
Redmi A1+ || 2GB Ram 32GB Rom || 5000mAh BAttery,https://www.daraz.pk/products/a1-2gb-32gb-5000mah-i389328040-s1913512689.html?search=1,"Rs. 25,999",(1),Pakistan
Vivo y85 4GB Ram 64GB Memory Dual sim with box and charger,https://www.daraz.pk/products/4gb-y85-64gb-i418419698-s1983599407.html?search=1,"Rs. 19,500",(5),Pakistan
"Xiaomi Redmi 10C - 6.53"" Inch Display - 4GB RAM - 128GB ROM",https://www.daraz.pk/products/xiaomi-redmi-10c-653-inch-display-4gb-ram-128gb-rom-i332946380-s1726894172.html?search=1,"Rs. 47,490",(10),Free Shipping
Redmi A1+ 6.52 inch display 2+2 Ram 32gb Rom,https://www.daraz.pk/products/redmi-a1-652-inch-display-22-ram-32gb-rom-i393004324-s1978043757.html?search=1,"Rs. 26,499",(8),Pakistan
Samsung FOLD 4 12GB+256GB,https://www.daraz.pk/products/samsung-fold-4-12gb256gb-i421203572-s1988626251.html?search=1,"Rs. 424,799",(5),Pakistan
Digit4G E2 Pro - 2.4 Inch Display - Battery 2000 mAh - Video Calling - Touch Screen - wifi - Hotspot,https://www.daraz.pk/products/4g-e2-24-2000-mah-wifi-i396526842-s1921897325.html?search=1,"Rs. 9,000",(58),Pakistan
TECNO CAMON 19 NEO 6GB RAM 128GB ROM || HELIO G85 OCTA-CORE || 5000mAh BATTERY || ONE YEAR BRAND WARRANTY,https://www.daraz.pk/products/tecno-camon-19-neo-6gb-ram-128gb-rom-helio-g85-octa-core-5000mah-battery-one-year-brand-warranty-i407977940-s1957161789.html?search=1,"Rs. 47,500",(3),Pakistan
